DateUTC,TimeUTC,SUM_of_MNOZSTVO
12/07/2013,150,104085.13791
12/07/2013,180,106104.71788
12/07/2013,210,109194.66939
12/07/2013,240,111885.83017
12/07/2013,270,122023.88024
12/07/2013,300,126706.68185
12/07/2013,330,135136.56709
12/07/2013,360,138774.83948
12/07/2013,390,143536.85053
12/07/2013,420,146766.6003
12/07/2013,450,150239.75963
12/07/2013,480,152430.25768
12/07/2013,510,153473.47627
12/07/2013,540,154015.38501
12/07/2013,570,153092.67789
12/07/2013,600,154741.45653
12/07/2013,630,157024.66245
12/07/2013,660,155825.75209
12/07/2013,690,156069.92785
12/07/2013,720,152668.05631
12/07/2013,750,153073.65827
12/07/2013,780,150829.96529
12/07/2013,810,149335.62313
12/07/2013,840,145920.38941
12/07/2013,870,143360.85496
12/07/2013,900,140324.77415
12/07/2013,930,139173.67654
12/07/2013,960,136186.09736
12/07/2013,990,133405.63186
12/07/2013,1020,131669.46702
12/07/2013,1050,128298.76499
12/07/2013,1080,125662.10654
12/07/2013,1110,122490.68624
12/07/2013,1140,120563.64579
12/07/2013,1170,117968.35558
12/07/2013,1200,112112.07462
12/07/2013,1230,112289.58067
12/07/2013,1260,110522.8165
12/07/2013,1290,108264.59062
12/07/2013,1320,105225.08978
13/07/2013,-90,101091.3285
13/07/2013,-60,99926.867632
13/07/2013,-30,100008.66469
13/07/2013,0,99214.395153
13/07/2013,30,98349.430376
13/07/2013,60,98706.865181
13/07/2013,90,98654.536257
13/07/2013,120,97871.31833
13/07/2013,150,101365.24367
13/07/2013,180,100985.23248
13/07/2013,210,100396.0675
13/07/2013,240,98548.869975
13/07/2013,270,100872.14068
13/07/2013,300,102276.06339
13/07/2013,330,103932.79798
13/07/2013,360,103728.74564
13/07/2013,390,105883.05844
13/07/2013,420,107649.49991
13/07/2013,450,110770.0557
13/07/2013,480,112063.17674
13/07/2013,510,115486.39056
13/07/2013,540,116036.91349
13/07/2013,570,115656.95191
13/07/2013,600,115665.78393
13/07/2013,630,116880.30063
13/07/2013,660,116208.59206
13/07/2013,690,115768.1355
13/07/2013,720,112985.92191
13/07/2013,750,114955.58372
13/07/2013,780,113766.67428
13/07/2013,810,113097.66223
13/07/2013,840,113445.55053
13/07/2013,870,111449.53825
13/07/2013,900,110801.94274
13/07/2013,930,111674.2724
13/07/2013,960,111205.7908
13/07/2013,990,110243.91006
13/07/2013,1020,110375.43765
13/07/2013,1050,110767.09135
13/07/2013,1080,108450.8293
13/07/2013,1110,106241.03435
13/07/2013,1140,105643.81708
13/07/2013,1170,103541.66448
13/07/2013,1200,100071.28851
13/07/2013,1230,98472.68049
13/07/2013,1260,97116.178403
13/07/2013,1290,95393.960366
13/07/2013,1320,91634.681867
14/07/2013,-90,88196.344688
14/07/2013,-60,86785.526085
14/07/2013,-30,87091.210821
14/07/2013,0,86466.26894
14/07/2013,30,86207.343551
14/07/2013,60,86116.434175
14/07/2013,90,86015.234729
14/07/2013,120,86117.548826
14/07/2013,150,88158.626542
14/07/2013,180,89570.727835
14/07/2013,210,89161.737107
14/07/2013,240,87851.559114
14/07/2013,270,90261.81538
14/07/2013,300,91760.051066
14/07/2013,330,95781.711932
14/07/2013,360,96633.597333
14/07/2013,390,99236.174666
14/07/2013,420,100152.35621
14/07/2013,450,104079.68569
14/07/2013,480,105686.10521
14/07/2013,510,108164.91426
14/07/2013,540,108109.27457
14/07/2013,570,108875.9961
14/07/2013,600,109122.12457
14/07/2013,630,111431.1372
14/07/2013,660,112454.94512
14/07/2013,690,112599.1571
14/07/2013,720,112142.32734
14/07/2013,750,113146.90877
14/07/2013,780,112792.53049
14/07/2013,810,113558.16136
14/07/2013,840,112512.21292
14/07/2013,870,112397.38501
14/07/2013,900,111029.26519
14/07/2013,930,111424.93078
14/07/2013,960,112420.45164
14/07/2013,990,110869.0356
14/07/2013,1020,110294.43419
14/07/2013,1050,109019.71726
14/07/2013,1080,107710.37946
14/07/2013,1110,107778.84562
14/07/2013,1140,106164.57928
14/07/2013,1170,102360.43104
14/07/2013,1200,97198.893099
14/07/2013,1230,91123.315921
14/07/2013,1260,87600.523971
14/07/2013,1290,83719.008223
14/07/2013,1320,80959.634215
15/07/2013,-90,79786.714496
15/07/2013,-60,78685.412099
15/07/2013,-30,79601.088069
15/07/2013,0,79423.283246
15/07/2013,30,79849.831935
15/07/2013,60,82647.889055
15/07/2013,90,84287.653655
15/07/2013,120,85190.342871
15/07/2013,150,88817.539231
15/07/2013,180,91470.972963
15/07/2013,210,98276.870258
15/07/2013,240,105859.6202
15/07/2013,270,119869.36323
15/07/2013,300,126472.56523
15/07/2013,330,133722.31972
15/07/2013,360,139084.11838
15/07/2013,390,144565.05941
15/07/2013,420,146398.65153
15/07/2013,450,151659.88437
15/07/2013,480,153755.858
15/07/2013,510,156234.64034
15/07/2013,540,155738.70078
15/07/2013,570,156287.69801
15/07/2013,600,156216.68521
15/07/2013,630,159593.85237
15/07/2013,660,159845.46115
15/07/2013,690,159336.33651
15/07/2013,720,157254.78063
15/07/2013,750,156918.47281
15/07/2013,780,157313.03067
15/07/2013,810,154787.5108
15/07/2013,840,153138.76086
15/07/2013,870,147562.8466
15/07/2013,900,145359.41939
15/07/2013,930,143151.76596
15/07/2013,960,140243.36547
15/07/2013,990,137133.08182
15/07/2013,1020,135136.30031
15/07/2013,1050,131127.84181
15/07/2013,1080,128040.57188
15/07/2013,1110,124351.17694
15/07/2013,1140,123034.34938
15/07/2013,1170,119209.70337
15/07/2013,1200,116898.0416
15/07/2013,1230,114469.01658
15/07/2013,1260,112353.19039
15/07/2013,1290,109978.87656
15/07/2013,1320,104963.83375
16/07/2013,-90,101442.86808
16/07/2013,-60,100141.93255
16/07/2013,-30,100259.70694
16/07/2013,0,100007.55633
16/07/2013,30,99100.867309
16/07/2013,60,98429.949319
16/07/2013,90,98551.602457
16/07/2013,120,99004.981533
16/07/2013,150,102598.33026
16/07/2013,180,104912.71871
16/07/2013,210,107715.87896
16/07/2013,240,111528.07648
16/07/2013,270,119943.82179
16/07/2013,300,124713.05707
16/07/2013,330,132506.21529
16/07/2013,360,139025.70083
16/07/2013,390,143173.38871
16/07/2013,420,147596.15837
16/07/2013,450,153550.53834
16/07/2013,480,156368.33052
16/07/2013,510,158133.70814
16/07/2013,540,156977.32215
16/07/2013,570,157199.71672
16/07/2013,600,156689.40506
16/07/2013,630,160829.43886
16/07/2013,660,160174.37426
16/07/2013,690,159647.04493
16/07/2013,720,157883.18911
16/07/2013,750,157941.56365
16/07/2013,780,158781.37578
16/07/2013,810,157503.44082
16/07/2013,840,155798.68728
16/07/2013,870,153184.20054
16/07/2013,900,149622.2288
16/07/2013,930,147127.89747
