DateUTC,TimeUTC,SUM_of_MNOZSTVO
2013-07-14,600,108164.91426
2013-07-14,630,108109.27457
2013-07-14,660,108875.9961
2013-07-14,690,109122.12457
2013-07-14,720,111431.1372
2013-07-14,750,112454.94512
2013-07-14,780,112599.1571
2013-07-14,810,112142.32734
2013-07-14,840,113146.90877
2013-07-14,870,112792.53049
2013-07-14,900,113558.16136
2013-07-14,930,112512.21292
2013-07-14,960,112397.38501
2013-07-14,990,111029.26519
2013-07-14,1020,111424.93078
2013-07-14,1050,112420.45164
2013-07-14,1080,110869.0356
2013-07-14,1110,110294.43419
2013-07-14,1140,109019.71726
2013-07-14,1170,107710.37946
2013-07-14,1200,107778.84562
2013-07-14,1230,106164.57928
2013-07-14,1260,102360.43104
2013-07-14,1290,97198.893099
2013-07-14,1320,91123.315921
2013-07-14,1350,87600.523971
2013-07-14,1380,83719.008223
2013-07-14,1410,80959.634215
2013-07-15,0,79786.714496
2013-07-15,30,78685.412099
2013-07-15,60,79601.088069
2013-07-15,90,79423.283246
2013-07-15,120,79849.831935
2013-07-15,150,82647.889055
2013-07-15,180,84287.653655
2013-07-15,210,85190.342871
2013-07-15,240,88817.539231
2013-07-15,270,91470.972963
2013-07-15,300,98276.870258
2013-07-15,330,105859.6202
2013-07-15,360,119869.36323
2013-07-15,390,126472.56523
2013-07-15,420,133722.31972
2013-07-15,450,139084.11838
2013-07-15,480,144565.05941
2013-07-15,510,146398.65153
2013-07-15,540,151659.88437
2013-07-15,570,153755.858
2013-07-15,600,156234.64034
2013-07-15,630,155738.70078
2013-07-15,660,156287.69801
2013-07-15,690,156216.68521
2013-07-15,720,159593.85237
2013-07-15,750,159845.46115
2013-07-15,780,159336.33651
2013-07-15,810,157254.78063
2013-07-15,840,156918.47281
2013-07-15,870,157313.03067
2013-07-15,900,154787.5108
2013-07-15,930,153138.76086
2013-07-15,960,147562.8466
2013-07-15,990,145359.41939
2013-07-15,1020,143151.76596
2013-07-15,1050,140243.36547
2013-07-15,1080,137133.08182
2013-07-15,1110,135136.30031
2013-07-15,1140,131127.84181
2013-07-15,1170,128040.57188
2013-07-15,1200,124351.17694
2013-07-15,1230,123034.34938
2013-07-15,1260,119209.70337
2013-07-15,1290,116898.0416
2013-07-15,1320,114469.01658
2013-07-15,1350,112353.19039
2013-07-15,1380,109978.87656
2013-07-15,1410,104963.83375
2013-07-16,0,101442.86808
2013-07-16,30,100141.93255
2013-07-16,60,100259.70694
2013-07-16,90,100007.55633
2013-07-16,120,99100.867309
2013-07-16,150,98429.949319
2013-07-16,180,98551.602457
2013-07-16,210,99004.981533
2013-07-16,240,102598.33026
2013-07-16,270,104912.71871
2013-07-16,300,107715.87896
2013-07-16,330,111528.07648
2013-07-16,360,119943.82179
2013-07-16,390,124713.05707
2013-07-16,420,132506.21529
2013-07-16,450,139025.70083
2013-07-16,480,143173.38871
2013-07-16,510,147596.15837
2013-07-16,540,153550.53834
2013-07-16,570,156368.33052
2013-07-16,600,158133.70814
2013-07-16,630,156977.32215
2013-07-16,660,157199.71672
2013-07-16,690,156689.40506
2013-07-16,720,160829.43886
2013-07-16,750,160174.37426
2013-07-16,780,159647.04493
2013-07-16,810,157883.18911
2013-07-16,840,157941.56365
2013-07-16,870,158781.37578
2013-07-16,900,157503.44082
2013-07-16,930,155798.68728
2013-07-16,960,153184.20054
2013-07-16,990,149622.2288
2013-07-16,1020,147127.89747
2013-07-16,1050,144835.37366
2013-07-16,1080,140999.30239
2013-07-16,1110,138639.25302
2013-07-16,1140,135834.69827
2013-07-16,1170,131871.10274
2013-07-16,1200,128841.93641
2013-07-16,1230,126856.0174
2013-07-16,1260,121936.04016
2013-07-16,1290,117175.47624
2013-07-16,1320,116663.15777
2013-07-16,1350,114963.56023
2013-07-16,1380,112680.9722
2013-07-16,1410,108843.48619
2013-07-17,0,104234.06406
2013-07-17,30,103389.34544
2013-07-17,60,103088.65063
2013-07-17,90,102687.91057
2013-07-17,120,101763.64593
2013-07-17,150,100929.32186
2013-07-17,180,100507.95579
2013-07-17,210,101192.89092
2013-07-17,240,104290.28674
2013-07-17,270,106960.11573
2013-07-17,300,109267.3766
2013-07-17,330,112539.72766
2013-07-17,360,121424.36435
2013-07-17,390,129059.91989
2013-07-17,420,136447.08024
2013-07-17,450,142611.06232
2013-07-17,480,147429.78774
