merged.DateUTC,merged.Temperature_F,decom.time.series....trend..
2013-07-17,60.8,135175.930768658
2013-07-17,60,135259.20466349
2013-07-17,59,135342.478558322
2013-07-17,58,135425.752453154
2013-07-17,57.2,135509.026347986
2013-07-17,60,135592.300242818
2013-07-17,60.8,135675.57413765
2013-07-17,65,135758.848032482
2013-07-17,66.2,135842.121927314
2013-07-17,69,135925.395822146
2013-07-17,69.8,135985.381378834
2013-07-17,73,136045.366935522
2013-07-17,75.2,136105.352492209
2013-07-17,76,136165.338048897
2013-07-17,77,136225.323605585
2013-07-17,79,136285.309162273
2013-07-17,78.8,136345.29471896
2013-07-17,81,136405.280275648
2013-07-17,80.6,136465.265832336
2013-07-17,82,136525.251389024
2013-07-17,84.2,136585.236945711
2013-07-17,83,136645.222502399
2013-07-17,84.2,136705.208059087
2013-07-17,83,136765.193615775
2013-07-17,84.2,136825.179172463
2013-07-17,85,136914.502608514
2013-07-17,84.2,137003.826044565
2013-07-17,84,137093.149480617
2013-07-17,84.2,137182.472916668
2013-07-17,84,137271.79635272
2013-07-17,82.4,137361.119788771
2013-07-17,83,137450.443224823
2013-07-17,82.4,137539.766660874
2013-07-17,81,137629.090096926
2013-07-17,78.8,137718.413532977
2013-07-17,77,137807.736969028
2013-07-17,77,137897.06040508
2013-07-17,75.2,137986.383841131
2013-07-17,71.6,138075.707277183
2013-07-17,67,138165.030713234
2013-07-17,68,138229.520397794
2013-07-17,66,138294.010082354
2013-07-17,66.2,138358.499766914
2013-07-17,65,138422.989451474
2013-07-17,64.4,138487.479136034
2013-07-18,64,138551.968820595
2013-07-18,64.4,138616.458505155
2013-07-18,62,138680.948189715
2013-07-18,60.8,138745.437874275
2013-07-18,63,138809.927558835
