,electrometer,postcode,location,rows,f
345,244,664 42,Modøice - Brno,69985,data/ceskedata/CZ_data_1/244.csv
346,245,664 42,Modøice - Brno,69985,data/ceskedata/CZ_data_1/245.csv
347,246,664 42,Modøice - Brno,69985,data/ceskedata/CZ_data_1/246.csv
348,247,664 42,Modøice - Brno,69985,data/ceskedata/CZ_data_1/247.csv
349,248,627 00,Brno - Èernovické terasy,69985,data/ceskedata/CZ_data_1/248.csv
350,249,627 00,Brno - Èernovické terasy,69985,data/ceskedata/CZ_data_1/249.csv
351,25,301 00,Plzeò, Borská pole,69985,data/ceskedata/CZ_data_1/25.csv
352,250,627 00,Brno - Èernovické terasy,69985,data/ceskedata/CZ_data_1/250.csv
353,251,627 00,Brno - Èernovické terasy,69985,data/ceskedata/CZ_data_1/251.csv
354,252,627 00,Brno - Èernovické terasy,69985,data/ceskedata/CZ_data_1/252.csv
355,253,627 00,Brno - Èernovické terasy,69985,data/ceskedata/CZ_data_1/253.csv
356,254,627 00,Brno - Èernovické terasy,69985,data/ceskedata/CZ_data_1/254.csv
357,255,627 00,Brno - Èernovické terasy,69985,data/ceskedata/CZ_data_1/255.csv
